epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7767,1.29117,3.57088,1.58637,0.50817,0.16195,0.07114,0.0439,1.36953,3.84768,1.70519,0.000296816,0.000296816,0.000296816
2,27.4231,1.26391,3.16437,1.62719,0.53796,0.1636,0.11596,0.06242,1.50952,3.45737,1.84,0.00058794,0.00058794,0.00058794
3,39.8389,1.35542,3.0353,1.71353,0.35297,0.23949,0.14464,0.07678,1.65324,3.68529,2.07433,0.000867065,0.000867065,0.000867065
4,51.3164,1.35462,2.95248,1.68156,0.44148,0.13312,0.09204,0.04746,1.72651,8.77702,2.17884,0.000855005,0.000855005,0.000855005
5,62.5914,1.35426,2.87161,1.68898,0.37976,0.15858,0.15003,0.07705,1.67393,3.36315,2.03649,0.000837007,0.000837007,0.000837007
6,75.1711,1.30821,2.80101,1.65707,0.27742,0.20756,0.11282,0.05818,1.62773,4.18572,1.98314,0.000819009,0.000819009,0.000819009
7,87.5084,1.33341,2.79415,1.68369,0.09533,0.28925,0.10272,0.05084,1.63866,3.72505,1.95812,0.000801011,0.000801011,0.000801011
8,99.2372,1.32172,2.76161,1.67284,0.14847,0.32408,0.1416,0.07393,1.56903,3.31637,1.98777,0.000783013,0.000783013,0.000783013
9,110.374,1.29863,2.65585,1.63606,0.17337,0.27603,0.14119,0.06964,1.6469,3.14852,2.02641,0.000765014,0.000765014,0.000765014
10,122.875,1.28284,2.67468,1.6158,0.3028,0.31853,0.14848,0.07942,1.57389,3.14721,1.99125,0.000747016,0.000747016,0.000747016
11,135.688,1.25548,2.6408,1.62684,0.24158,0.23197,0.15962,0.08466,1.6405,3.54159,2.03614,0.000729018,0.000729018,0.000729018
12,148.012,1.25038,2.58083,1.60951,0.20807,0.34068,0.14192,0.07965,1.54907,3.24069,1.93889,0.00071102,0.00071102,0.00071102
13,158.288,1.21331,2.52163,1.56744,0.19911,0.34827,0.16375,0.08393,1.46584,3.07343,1.894,0.000693022,0.000693022,0.000693022
14,170.843,1.23891,2.54865,1.59759,0.25915,0.29643,0.17393,0.10156,1.47101,2.89208,1.86848,0.000675023,0.000675023,0.000675023
15,183.646,1.22957,2.49897,1.59608,0.21535,0.30754,0.1753,0.08933,1.47505,2.88854,1.83518,0.000657025,0.000657025,0.000657025
16,196.082,1.18023,2.48446,1.5569,0.26172,0.30963,0.1612,0.08996,1.44044,2.82599,1.79816,0.000639027,0.000639027,0.000639027
17,207.408,1.17208,2.46017,1.57343,0.25787,0.32889,0.17688,0.09813,1.41712,2.74609,1.81179,0.000621029,0.000621029,0.000621029
18,218.804,1.14053,2.39499,1.54074,0.18892,0.2756,0.16342,0.09214,1.44091,2.78758,1.83305,0.000603031,0.000603031,0.000603031
19,231.399,1.16166,2.37392,1.54621,0.23243,0.31104,0.16811,0.09477,1.50843,2.80744,1.88805,0.000585032,0.000585032,0.000585032
20,243.866,1.12641,2.35847,1.5049,0.20432,0.32919,0.17904,0.10961,1.39438,2.75093,1.77534,0.000567034,0.000567034,0.000567034
21,256.168,1.13121,2.30622,1.53464,0.33731,0.25977,0.19096,0.11355,1.39497,2.98346,1.78131,0.000549036,0.000549036,0.000549036
22,266.809,1.1148,2.25912,1.49382,0.26919,0.34309,0.20395,0.12247,1.36946,2.67024,1.72538,0.000531038,0.000531038,0.000531038
23,279.198,1.12498,2.2862,1.50139,0.32012,0.32135,0.19535,0.11603,1.35127,2.57654,1.69395,0.00051304,0.00051304,0.00051304
24,291.783,1.08504,2.22968,1.48508,0.24421,0.3715,0.18924,0.11126,1.31996,2.60996,1.66663,0.000495041,0.000495041,0.000495041
25,304.321,1.08679,2.20807,1.48638,0.23915,0.31713,0.20056,0.11807,1.30686,2.674,1.71982,0.000477043,0.000477043,0.000477043
26,315.938,1.0726,2.21376,1.45991,0.25614,0.30772,0.19455,0.11918,1.28351,2.55501,1.69636,0.000459045,0.000459045,0.000459045
27,327.529,1.05398,2.12818,1.44759,0.39903,0.32842,0.23326,0.14577,1.25214,2.42107,1.65878,0.000441047,0.000441047,0.000441047
28,341.046,1.02588,2.11243,1.44048,0.2884,0.39094,0.22172,0.12845,1.26445,2.48175,1.67968,0.000423049,0.000423049,0.000423049
29,353.785,1.07861,2.11953,1.47615,0.24395,0.34665,0.22174,0.13501,1.25273,2.5145,1.66864,0.00040505,0.00040505,0.00040505
30,366.653,1.01813,2.0514,1.41905,0.31283,0.40272,0.24325,0.15048,1.2699,2.41623,1.67776,0.000387052,0.000387052,0.000387052
31,378.823,1.03326,2.07399,1.4461,0.32392,0.28071,0.23255,0.14137,1.25101,2.49308,1.64338,0.000369054,0.000369054,0.000369054
32,390.204,0.9834,2.01725,1.41907,0.28549,0.38362,0.23668,0.14946,1.22698,2.4028,1.63507,0.000351056,0.000351056,0.000351056
33,402.912,1.00128,2.02058,1.41704,0.25836,0.40496,0.2513,0.16357,1.18573,2.3287,1.59172,0.000333058,0.000333058,0.000333058
34,415.948,0.95943,1.96941,1.39057,0.29587,0.35366,0.24443,0.15508,1.2043,2.37857,1.62256,0.000315059,0.000315059,0.000315059
35,428.588,1.00447,1.95613,1.39918,0.2985,0.3774,0.2558,0.16145,1.2382,2.47193,1.64323,0.000297061,0.000297061,0.000297061
36,440.109,0.98957,1.97222,1.39874,0.30524,0.40657,0.26656,0.16714,1.22292,2.39678,1.63581,0.000279063,0.000279063,0.000279063
37,452.482,0.99871,1.93005,1.39361,0.27038,0.47446,0.26763,0.16947,1.21716,2.37189,1.62657,0.000261065,0.000261065,0.000261065
38,466.029,0.94018,1.88768,1.38057,0.28544,0.4488,0.26041,0.16386,1.19799,2.37513,1.61126,0.000243067,0.000243067,0.000243067
39,478.519,0.90492,1.81322,1.35371,0.29289,0.45268,0.26677,0.16257,1.19538,2.3574,1.60675,0.000225068,0.000225068,0.000225068
40,490.192,0.92841,1.84252,1.38171,0.31404,0.51049,0.27074,0.16611,1.21407,2.26598,1.62675,0.00020707,0.00020707,0.00020707
41,504.535,0.9934,2.05804,1.45591,0.29231,0.44128,0.25611,0.15786,1.22313,2.32716,1.63447,0.000189072,0.000189072,0.000189072
42,515.304,0.93531,1.97731,1.42618,0.28678,0.46908,0.26483,0.15955,1.17201,2.36262,1.58543,0.000171074,0.000171074,0.000171074
43,527.389,0.91774,1.87766,1.42258,0.32835,0.39383,0.27038,0.16692,1.15204,2.40469,1.57086,0.000153076,0.000153076,0.000153076
44,539.457,0.89561,1.84957,1.40319,0.34704,0.42081,0.27732,0.17497,1.15461,2.41165,1.58448,0.000135077,0.000135077,0.000135077
45,549.957,0.90399,1.83125,1.41997,0.31728,0.43742,0.27084,0.17866,1.13637,2.33571,1.57244,0.000117079,0.000117079,0.000117079
46,561.324,0.84027,1.74554,1.3575,0.29302,0.4867,0.27832,0.18023,1.11346,2.35411,1.5443,9.9081e-05,9.9081e-05,9.9081e-05
47,575.461,0.87305,1.77692,1.35223,0.28213,0.4621,0.27874,0.1809,1.10927,2.37476,1.53048,8.10828e-05,8.10828e-05,8.10828e-05
48,588.187,0.85255,1.73797,1.35064,0.32709,0.42971,0.28764,0.18612,1.10847,2.36115,1.53632,6.30846e-05,6.30846e-05,6.30846e-05
49,601.017,0.84009,1.66339,1.34754,0.3345,0.44101,0.28443,0.18774,1.10875,2.32425,1.53383,4.50864e-05,4.50864e-05,4.50864e-05
50,613.114,0.83001,1.70139,1.33626,0.31324,0.4395,0.29731,0.19888,1.0972,2.31119,1.52549,2.70882e-05,2.70882e-05,2.70882e-05
