epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08168,1.29276,3.24116,1.5607,0.02234,0.53431,0.09847,0.0521,1.57753,3.78496,1.81472,0.00025,0.00025,0.00025
2,13.337,1.40253,2.86176,1.6531,0.04013,0.547,0.10659,0.05977,1.64795,3.76949,1.89951,0.000502353,0.000502353,0.000502353
3,18.1172,1.40074,2.68857,1.64146,0.63752,0.10507,0.12316,0.06709,1.64663,3.31634,1.95202,0.00074431,0.00074431,0.00074431
4,24.7919,1.40781,2.56514,1.66354,0.82175,0.08696,0.06899,0.03393,1.94208,3.46949,2.24382,0.000975872,0.000975872,0.000975872
5,29.9682,1.43021,2.55572,1.68283,0.86412,0.0913,0.11173,0.04483,1.81033,3.57289,2.17297,0.001151,0.001151,0.001151
6,34.3163,1.43199,2.52074,1.68237,0.80678,0.0942,0.05906,0.02832,1.77878,3.60025,2.24229,0.00112625,0.00112625,0.00112625
7,41.3049,1.41477,2.46688,1.68001,0.11783,0.166,0.10106,0.043,1.95263,3.37457,2.29145,0.0011015,0.0011015,0.0011015
8,46.025,1.352,2.41477,1.62481,0.135,0.20576,0.10723,0.04416,1.88283,3.5454,2.34181,0.00107675,0.00107675,0.00107675
9,50.4484,1.40412,2.43587,1.68961,0.59326,0.18201,0.11054,0.05461,1.89443,3.59746,2.26844,0.001052,0.001052,0.001052
10,56.9862,1.39022,2.36685,1.66234,0.32717,0.11232,0.07811,0.03694,1.86445,3.77268,2.18697,0.00102725,0.00102725,0.00102725
11,61.3575,1.40043,2.39369,1.66721,0.37892,0.14216,0.09311,0.03891,1.92418,4.42413,2.2308,0.0010025,0.0010025,0.0010025
12,66.1365,1.38123,2.34702,1.68522,0.12052,0.16795,0.08567,0.04036,1.91668,3.78243,2.12964,0.00097775,0.00097775,0.00097775
13,72.1584,1.30999,2.30802,1.623,0.10424,0.12724,0.09899,0.04593,1.89579,3.33221,2.11953,0.000953,0.000953,0.000953
14,76.5086,1.30401,2.22529,1.59311,0.65121,0.16731,0.13632,0.06357,1.84354,3.29234,2.17111,0.00092825,0.00092825,0.00092825
15,80.7989,1.30428,2.24273,1.58733,0.19155,0.16362,0.11225,0.05254,1.89893,3.29155,2.3236,0.0009035,0.0009035,0.0009035
16,87.5722,1.30088,2.24831,1.57502,0.43736,0.15663,0.09664,0.04948,1.84687,3.3999,2.29017,0.00087875,0.00087875,0.00087875
17,91.992,1.2701,2.13708,1.55658,0.43048,0.11656,0.10905,0.05449,1.948,3.47413,2.17522,0.000854,0.000854,0.000854
18,96.1076,1.28741,2.14414,1.57639,0.38086,0.15641,0.11738,0.06615,1.80567,3.27847,2.02118,0.00082925,0.00082925,0.00082925
